Emnekode	Emnenavn	Sted
TMT4445	Avanserte funksjonelle materialer	Trondheim
TTM4250	Avanserte internett-teknologier - Nettsystemer, fordypningsemne	Trondheim
BYGA2351	Avanserte konstruksjoner	Ålesund
BI8002	Avanserte metoder i biosystematikk	Trondheim
VB8008	Avanserte polymerkompositter	Gjøvik
IELS3011	Avanserte sensorsystemer	Trondheim
MA8701	Avanserte statistiske metoder innen inferens og læring	Trondheim
TS8002	Avanserte tema innen simulering og analyser av maritime operasjoner	Ålesund
TPK4186	Avanserte verktøy for Performance Engineering	Trondheim
BA8620	Avanserte vindusmaterialer og -teknologier	Trondheim
TK8155	Avanserte visuelle persepsjonssystemer	Trondheim
MGLU5205	Avanserte/innovative undervisningsmetoder i engelskklasserommet	Trondheim
TEP4310	Avfallsteknologi og ressursgjenvinning	Trondheim
PHMEDHV-AVH	Avhandling for PhD(Kun eksamen, undervises ikke)	Trondheim
JOR3302	Avvikende og patologiske tilstander under svangerskap, fødsel og barseltid	Trondheim
BK2501	BFA prosjekt	Trondheim
BK2600	BFA utstilling	Trondheim
BIM2002	BIM Modelleringscase	Gjøvik
TKT4240	BM1 Bygningsmaterialer	Trondheim
TVM4101	BM2 Vann og miljø	Trondheim
TBA4204	BM3 Transportinfrastruktur	Trondheim
TBA4125	BM4 Prosjektering	Trondheim
AAR4905	BYLAB 1- byformingsteori, forskning og praksis	Trondheim
AAR4919	BYLAB 2 - byformingsteori, forskning og praksis	Trondheim
TKJE3009	Bachelor Thesis Chemistry for Exchange Students	Trondheim
KP3900	Bachelor Thesis in Chemical Engineering for Exchange Students	Trondheim
FVP2200	Bachelorfilm og bacheloroppgave i film- og videoproduksjon	Trondheim
BIA3002	Bacheloroppgave	Ålesund
DIFT2900	Bacheloroppgave	Trondheim
FI2001	Bacheloroppgave	Trondheim
IDATT2901	Bacheloroppgave	Trondheim
IELEG3190	Bacheloroppgave	Gjøvik
IELEG3290	Bacheloroppgave	Gjøvik
MATV3006	Bacheloroppgave	Trondheim
PROG2900	Bacheloroppgave	Gjøvik
IDATA2901	Bacheloroppgave	Ålesund
IDATG2901	Bacheloroppgave	Gjøvik
TN303212	Bacheloroppgave	Ålesund
YFL2900	Bacheloroppgave	Trondheim
AM301314	Bacheloroppgave	Ålesund
BØKLED4	Bacheloroppgave	Gjøvik
TBBY2000	Bacheloroppgave	Trondheim
TS301011	Bacheloroppgave(Kun eksamen, undervises ikke)	Ålesund
IDATG2900	Bacheloroppgave	Gjøvik
IDATT2900	Bacheloroppgave	Trondheim
TS301012	Bacheloroppgave	Ålesund
MEPA2910	Bacheloroppgave mekatronikk og produktdesign	Ålesund
